,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,qaanaaq,100,GL,1563081516,62,77.48,-69.36,279.697,4.96
1,jalu,0,LY,1563081415,49,29.03,21.55,300.297,3.79
2,provideniya,0,RU,1563081535,72,64.42,-173.23,287.197,2.77
3,tual,74,ID,1563081535,79,-5.67,132.75,298.497,8.53
4,cape town,0,ZA,1563081194,100,-33.93,18.42,288.15,4.1
5,puerto ayora,0,EC,1563081536,85,-0.74,-90.35,294.26,0.89
6,touros,40,BR,1563081537,100,-5.2,-35.46,296.15,2.1
7,rikitea,0,PF,1563081538,83,-23.12,-134.97,296.997,3.27
8,new norfolk,75,AU,1563081538,65,-42.78,147.06,280.15,8.7
9,kwinana,0,AU,1563081427,48,-32.25,115.77,292.04,5.1
10,punta arenas,90,CL,1563081539,93,-53.16,-70.91,275.15,4.6
11,kawalu,44,ID,1563081540,57,-7.38,108.21,298.297,3.61
12,popondetta,78,PG,1563081540,83,-8.77,148.24,295.397,1.14
13,pindiga,85,NG,1563081541,87,9.98,10.93,296.197,2.12
14,lorengau,87,PG,1563081541,75,-2.02,147.27,301.397,3.6
15,saint-pierre,20,FR,1563081542,93,48.95,4.24,286.15,3.6
16,carballo,75,ES,1563081543,88,43.21,-8.69,292.59,1.5
17,ushuaia,90,AR,1563081543,80,-54.81,-68.31,278.15,5.7
18,avarua,62,CK,1563081545,68,-21.21,-159.78,295.15,2.6
19,yagodnoye,17,RU,1563081545,22,62.52,149.63,299.797,6.11
20,bluff,33,AU,1563081545,28,-23.58,149.07,291.197,4.72
21,flin flon,49,CA,1563081546,94,54.77,-101.88,286.097,3.37
22,baykit,93,RU,1563081546,82,61.68,96.39,289.597,2.66
23,palmer,90,AU,1563081547,71,-34.85,139.16,287.59,8.7
24,coihaique,0,CL,1563081548,93,-45.58,-72.07,275.15,2.1
25,pisco,12,PE,1563081548,82,-13.71,-76.2,288.15,1.5
26,kaitangata,100,NZ,1563081549,71,-46.28,169.85,280.37,3.13
27,daru,89,PG,1563081549,86,-9.07,143.21,298.097,4.11
28,saint george,75,GR,1563081550,78,39.45,22.34,296.15,2.6
29,negombo,20,LK,1563081550,70,7.21,79.83,303.15,3.6
30,jamestown,100,AU,1563081302,78,-33.21,138.6,282.997,7.08
31,kvarkeno,96,RU,1563081551,33,52.08,59.73,303.597,4.52
32,chokurdakh,74,RU,1563081552,63,70.62,147.9,284.697,2.81
33,thompson,90,CA,1563081552,100,55.74,-97.86,287.15,1.5
34,cabo san lucas,5,MX,1563081497,69,22.89,-109.91,301.48,5.1
35,atuona,16,PF,1563081553,76,-9.8,-139.03,300.397,8.77
36,cherskiy,93,RU,1563081554,60,68.75,161.3,284.097,6.11
37,saint-philippe,40,CA,1563081555,93,45.36,-73.48,292.59,3.6
38,georgetown,20,GY,1563081555,94,6.8,-58.16,297.15,1.0
39,portland,75,US,1563081433,83,43.66,-70.25,294.82,1.13
40,muskogee,1,US,1563081406,83,35.75,-95.37,301.15,2.6
41,chuy,68,UY,1563081562,83,-33.69,-53.46,283.497,4.21
42,pendleton,1,US,1563081569,94,34.65,-82.78,297.04,2.1
43,alto araguaia,0,BR,1563081570,60,-17.32,-53.22,290.797,1.05
44,beyneu,82,KZ,1563081570,31,45.32,55.19,306.497,5.02
45,ilhabela,9,BR,1563081571,67,-23.78,-45.36,296.297,3.43
46,hobart,75,AU,1563081366,65,-42.88,147.33,280.15,8.7
47,port hedland,0,AU,1563081572,15,-20.31,118.58,300.15,8.7
48,nikolskoye,20,RU,1563081572,67,59.7,30.79,289.26,2.0
49,bereda,75,ES,1563081319,88,43.27,-7.54,292.59,1.0
50,busselton,0,AU,1563081573,41,-33.64,115.35,290.37,7.09
51,severo-kurilsk,0,RU,1563081574,94,50.68,156.12,280.697,4.46
52,esperance,40,AU,1563081574,67,-33.86,121.89,287.15,3.6
53,longyearbyen,75,NO,1563081575,75,78.22,15.63,278.15,5.7
54,deputatskiy,98,RU,1563081575,81,69.3,139.9,287.397,5.25
55,bredasdorp,0,ZA,1563081576,93,-34.53,20.04,281.48,2.6
56,port alfred,0,ZA,1563081576,90,-33.59,26.89,285.93,1.79
57,geraldton,5,CA,1563081577,87,49.72,-86.95,285.15,1.5
58,barrow,2,AR,1563081577,71,-38.31,-60.23,279.197,4.22
59,souillac,0,FR,1563081578,63,45.6,-0.6,290.93,3.1
60,bethel,75,US,1563081578,72,60.79,-161.76,291.15,2.6
61,port elizabeth,1,US,1563081579,88,39.31,-74.98,297.59,2.75
62,kieta,100,PG,1563081580,79,-6.22,155.63,299.597,2.84
63,hithadhoo,3,MV,1563081580,75,-0.6,73.08,302.097,6.22
64,elizabethtown,1,US,1563081581,83,40.15,-76.6,296.48,2.1
65,mandalgovi,29,MN,1563081581,23,45.76,106.27,301.797,5.8
66,yarmouth,90,CA,1563081582,100,43.84,-66.12,288.71,3.6
67,prince rupert,90,CA,1563081582,87,54.32,-130.32,289.15,1.0
68,saskylakh,0,RU,1563081583,43,71.97,114.09,286.597,6.9
69,castro,90,CL,1563081583,100,-42.48,-73.76,281.15,7.2
70,la ronge,40,CA,1563081584,100,55.1,-105.3,287.15,1.56
71,ugoofaaru,68,MV,1563081372,71,5.67,73.0,301.597,1.94
